LEAID	LEA_NAME	ST_NAME	LEA_CWIFTEST	LEA_CWIFTSE
0405190	Mohave Valley Elementary District	Arizona	0.863	0.032
0405220	Mohawk Valley Elementary District	Arizona	0.882	0.035
0405320	Morenci Unified District	Arizona	0.766	0.055
0405340	Morristown Elementary District	Arizona	0.974	0.005
0405400	Murphy Elementary District	Arizona	0.974	0.005
0405430	Naco Elementary District	Arizona	0.891	0.027
0405460	Nadaburg Unified School District	Arizona	0.974	0.005
0405530	Nogales Unified District	Arizona	0.891	0.027
0405640	Oracle Elementary District	Arizona	0.9	0.025
0405670	Osborn Elementary District	Arizona	0.974	0.005
0405730	Owens-Whitney Elementary District	Arizona	0.863	0.032
0405760	Tonto Basin Elementary District	Arizona	0.766	0.055
0405820	Page Unified District	Arizona	0.941	0.024
0405850	Palo Verde Elementary District	Arizona	0.974	0.005
0405880	Palominas Elementary District	Arizona	0.891	0.027
0405930	Paradise Valley Unified District	Arizona	0.974	0.005
0405980	Parker Unified School District	Arizona	0.863	0.032
0406000	Patagonia Elementary District	Arizona	0.891	0.027
0406030	Patagonia Union High School District	Arizona	0.891	0.027
0406070	Payson Unified District	Arizona	0.766	0.055
0406120	Peach Springs Unified District	Arizona	0.863	0.032
0406150	Pearce Elementary District	Arizona	0.891	0.027
0406210	Pendergast Elementary District	Arizona	0.974	0.005
0406250	Peoria Unified School District	Arizona	0.974	0.005
0406300	Phoenix Elementary District	Arizona	0.974	0.005
0406330	Phoenix Union High School District	Arizona	0.974	0.005
0406360	Picacho Elementary District	Arizona	0.9	0.025
0406440	Pima Unified District	Arizona	0.766	0.055
0406510	Pine Strawberry Elementary District	Arizona	0.766	0.055
0406580	Blue Ridge Unified District	Arizona	0.822	0.043
0406630	Pomerene Elementary District	Arizona	0.891	0.027
0406730	Prescott Unified District	Arizona	0.9	0.025
0406740	Sanders Unified District	Arizona	0.822	0.043
0406780	Quartzsite Elementary District	Arizona	0.863	0.032
0406810	Queen Creek Unified District	Arizona	0.974	0.005
0406850	Ray Unified District	Arizona	0.9	0.025
0406870	Red Mesa Unified District	Arizona	0.822	0.043
0406900	Red Rock Elementary District	Arizona	0.9	0.025
0406930	Redington Elementary District	Arizona	0.897	0.008
0406960	San Carlos Unified District	Arizona	0.766	0.055
0407020	Riverside Elementary District	Arizona	0.974	0.005
0407080	Roosevelt Elementary District	Arizona	0.974	0.005
0407130	Round Valley Unified District	Arizona	0.822	0.043
0407170	Saddle Mountain Unified School District	Arizona	0.974	0.005
0407200	Sacaton Elementary District	Arizona	0.9	0.025
0407240	Safford Unified District	Arizona	0.766	0.055
0407300	Sahuarita Unified District	Arizona	0.897	0.008
0407380	San Fernando Elementary District	Arizona	0.897	0.008
0407430	San Simon Unified District	Arizona	0.891	0.027
0407500	Santa Cruz Elementary District	Arizona	0.891	0.027
0407520	Santa Cruz Valley Unified District	Arizona	0.891	0.027
0407530	Santa Cruz Valley Union High School District	Arizona	0.9	0.025
0407570	Scottsdale Unified District	Arizona	0.974	0.005
0407630	Seligman Unified District	Arizona	0.9	0.025
0407680	Sentinel Elementary District	Arizona	0.974	0.005
0407700	Show Low Unified District	Arizona	0.822	0.043
0407750	Deer Valley Unified District	Arizona	0.974	0.005
0407770	Skull Valley Elementary District	Arizona	0.9	0.025
0407820	Snowflake Unified District	Arizona	0.822	0.043
0407860	Solomon Elementary District	Arizona	0.766	0.055
0407890	Somerton Elementary District	Arizona	0.882	0.035
0407920	Sonoita Elementary District	Arizona	0.891	0.027
0408020	St. David Unified District	Arizona	0.891	0.027
0408080	St. Johns Unified District	Arizona	0.822	0.043
0408130	Stanfield Elementary District	Arizona	0.9	0.025
0408170	Sunnyside Unified District	Arizona	0.897	0.008
0408230	Superior Unified School District	Arizona	0.9	0.025
0408280	Tanque Verde Unified District	Arizona	0.897	0.008
0408310	Tempe School District	Arizona	0.974	0.005
0408340	Tempe Union High School District	Arizona	0.974	0.005
0408410	Thatcher Unified District	Arizona	0.766	0.055
0408430	Paloma School District	Arizona	0.974	0.005
0408460	Hillside Elementary District	Arizona	0.9	0.025
0408490	Tolleson Elementary District	Arizona	0.974	0.005
0408520	Tolleson Union High School District	Arizona	0.974	0.005
0408550	Toltec Elementary District	Arizona	0.9	0.025
0408600	Tombstone Unified District	Arizona	0.891	0.027
0408640	Topock Elementary District	Arizona	0.863	0.032
0408680	Tuba City Unified District	Arizona	0.941	0.024
0408800	Tucson Unified District	Arizona	0.897	0.008
0408820	Union Elementary District	Arizona	0.974	0.005
0408850	Vail Unified District	Arizona	0.897	0.008
0408880	Valentine Elementary District	Arizona	0.863	0.032
0408910	Valley Union High School District	Arizona	0.891	0.027
0409030	Walnut Grove Elementary District	Arizona	0.9	0.025
0409060	Washington Elementary District	Arizona	0.974	0.005
0409090	Wellton Elementary District	Arizona	0.882	0.035
0409120	Wenden Elementary District	Arizona	0.863	0.032
0409160	Whiteriver Unified District	Arizona	0.815	0.038
0409190	Wickenburg Unified District	Arizona	0.97	0.004
0409250	Willcox Unified District	Arizona	0.891	0.027
0409310	Williams Unified District	Arizona	0.941	0.024
0409360	Williamson Valley Elementary School District	Arizona	0.9	0.025
0409390	Wilson Elementary District	Arizona	0.974	0.005
0409430	Window Rock Unified District	Arizona	0.822	0.043
0409460	Winslow Unified District	Arizona	0.822	0.043
0409510	Yarnell Elementary District	Arizona	0.9	0.025
0409540	Young Elementary School District	Arizona	0.766	0.055
0409570	Yucca Elementary District	Arizona	0.863	0.032
0409600	Yuma Elementary District	Arizona	0.882	0.035
0409630	Yuma Union High School District	Arizona	0.882	0.035
0409733	Sedona-Oak Creek Joint Unified District	Arizona	0.905	0.022
0500001	DeWitt School District	Arkansas	0.836	0.031
0500006	Warren School District	Arkansas	0.865	0.031
0500009	Corning Public Schools	Arkansas	0.801	0.033
0500012	Riverside School District	Arkansas	0.791	0.024
0500015	Sheridan School District	Arkansas	0.823	0.026
0500016	Marmaduke School District	Arkansas	0.801	0.033
0500017	Paragould School District	Arkansas	0.801	0.033
0500019	Batesville School District	Arkansas	0.855	0.05
0500020	Midland School District	Arkansas	0.845	0.042
0500021	Izard Cty Consolidated Schools	Arkansas	0.743	0.046
0500023	Newport School District	Arkansas	0.801	0.033
0500026	Pine Bluff School District	Arkansas	0.859	0.039
0500028	Star City School District	Arkansas	0.835	0.032
0500029	Gosnell School District	Arkansas	0.855	0.033
0500030	Nevada School District	Arkansas	0.908	0.054
0500032	Bearden School District	Arkansas	0.895	0.038
0500041	Western Yell County School District	Arkansas	0.732	0.027
0500042	Hamburg School District	Arkansas	0.865	0.031
0500043	Mountain Home School District	Arkansas	0.744	0.045
0500044	Magnolia School District	Arkansas	0.908	0.054
0500045	Rivercrest School District	Arkansas	0.855	0.033
0500046	Manila School District	Arkansas	0.855	0.033
0500047	Trumann Schools	Arkansas	0.855	0.033
0500048	East Poinsett County School District	Arkansas	0.855	0.033
0500049	De Queen School District	Arkansas	0.838	0.035
0500051	Palestine-Wheatley School District	Arkansas	0.861	0.041
0500065	Lafayette County School District	Arkansas	0.84	0.034
0500067	Cleveland County School District	Arkansas	0.835	0.032
0500068	Emerson-Taylor-Bradley School District	Arkansas	0.885	0.038
0500070	Cedar Ridge School District	Arkansas	0.855	0.05
0500071	Hillcrest School District	Arkansas	0.801	0.033
0500072	Deer/Mount Judea School District	Arkansas	0.776	0.037
0500073	Ouachita River School District	Arkansas	0.803	0.024
0500076	Ozark Mountain School District	Arkansas	0.776	0.037
0500079	Two Rivers School District	Arkansas	0.732	0.027
0500082	Lawrence County School District	Arkansas	0.801	0.033
0500405	Cossatot River School District	Arkansas	0.848	0.031
0500419	Jacksonville North Pulaski School District	Arkansas	0.901	0.01
0502250	Alma School District	Arkansas	0.776	0.037
0502280	Alpena School District	Arkansas	0.776	0.037
0502430	Arkadelphia School District	Arkansas	0.732	0.027
0502550	Armorel School District	Arkansas	0.855	0.033
0502580	Ashdown School District	Arkansas	0.838	0.035
0502610	Atkins Public Schools	Arkansas	0.809	0.035
0502670	Augusta School District	Arkansas	0.861	0.041
0502700	Bald Knob School District	Arkansas	0.785	0.048
0502730	Barton-Lexa School District	Arkansas	0.861	0.041
0502790	Bauxite School District	Arkansas	0.766	0.041
0502820	Bay School District	Arkansas	0.791	0.024
0502880	Beebe School District	Arkansas	0.785	0.049
0502960	Benton School District	Arkansas	0.761	0.043
0503030	Pea Ridge School District	Arkansas	1.089	0.024
0503060	Bentonville Public Schools	Arkansas	1.089	0.024
0503090	Bergman School District	Arkansas	0.776	0.037
0503150	Berryville Public Schools	Arkansas	0.776	0.037
0503240	Bismarck Public Schools	Arkansas	0.864	0.031
0503300	Blevins School District	Arkansas	0.85	0.031
0503320	Blytheville School District	Arkansas	0.855	0.033
0503420	Lead Hill School District	Arkansas	0.776	0.037
0503450	Booneville School District	Arkansas	0.733	0.027
0503480	Bradford School District	Arkansas	0.793	0.028
0503630	Brinkley School District	Arkansas	0.861	0.041
0503640	Brookland School District	Arkansas	0.791	0.024
0503690	Bryant Public Schools	Arkansas	0.761	0.043
0503710	Buffalo Island Central School District	Arkansas	0.825	0.021
